Values for Sample D
The total number of words = 2956880
The total number of distinct = 57794
The popular treshold words = 2890
The common treshold 1 words = 27452
The common treshold 2 words = 30342
____________________________________________________________________________________________________________
Table for the top values
+---------------+------+----+
|           Word| Count|Rank|
|           grow|   333| 811|
|           wall|   333| 812|
|        soldier|   333| 813|
|         action|   333| 814|
|        written|   332| 815|
|          march|   332| 816|
|  circumstances|   331| 817|
|          uncle|   330| 818|
|          write|   329| 819|
|        othello|   329| 820|
|           hall|   328| 821|
|       position|   328| 822|
|        command|   328| 823|
|          quiet|   327| 824|
|        majesty|   326| 825|
|             ah|   326| 826|
|       although|   326| 827|
|          moved|   325| 828|
|         across|   325| 829|
|          swear|   324| 830|
|           wine|   324| 831|
|          chief|   322| 832|
|          gives|   322| 833|
|      rochester|   322| 834|
|         ladies|   320| 835|
|        measure|   320| 836|
|            wit|   319| 837|
|        instead|   318| 838|
|          seven|   318| 839|
|        passion|   318| 840|
|          cases|   315| 841|
|         hearts|   315| 842|
|           soft|   315| 843|
|       suddenly|   314| 844|
|         golden|   313| 845|
|     experience|   313| 846|
|         sorrow|   313| 847|
|           rule|   311| 848|
|           sons|   311| 849|
|          grief|   311| 850|
|        society|   311| 851|
|           kill|   311| 852|
|        painter|   310| 853|
|         stands|   310| 854|
|           kiss|   310| 855|
|          speed|   310| 856|
|           sick|   309| 857|
|      agreement|   309| 858|
|     principles|   309| 859|
|         cousin|   309| 860|
|          timon|   309| 861|
|            iii|   308| 862|
|      necessity|   308| 863|
|     especially|   307| 864|
|          begin|   307| 865|
|           stop|   307| 866|
|          serve|   307| 867|
|           lead|   307| 868|
|       soldiers|   307| 869|
|           pale|   306| 870|
|           peel|   306| 871|
|           seat|   306| 872|
|           foul|   306| 873|
|            top|   305| 874|
|         broken|   305| 875|
|      education|   305| 876|
|          romeo|   304| 877|
|     individual|   304| 878|
|         secret|   303| 879|
|          walls|   302| 880|
|          front|   302| 881|
|          nurse|   302| 882|
|       language|   301| 883|
|      cleopatra|   301| 884|
|          quick|   300| 885|
|          tried|   300| 886|
|             dr|   300| 887|
|            hat|   300| 888|
|        affairs|   299| 889|
|         george|   299| 890|
|           ring|   299| 891|
|           plan|   298| 892|
|          agree|   298| 893|
|        persons|   298| 894|
|       probably|   298| 895|
|          fresh|   297| 896|
|      following|   297| 897|
|           ford|   297| 898|
|          saint|   296| 899|
|           wait|   296| 900|
|      important|   296| 901|
|           earl|   296| 902|
|           ways|   295| 903|
|        comfort|   295| 904|
|       thinking|   294| 905|
|             ho|   294| 906|
|        receive|   292| 907|
|      executive|   292| 908|
|          merry|   291| 909|
|         policy|   291| 910|
|          meant|   290| 911|
|           wood|   290| 912|
|          glass|   290| 913|
|       consider|   290| 914|
|           drew|   289| 915|
|        meaning|   289| 916|
|          dream|   289| 917|
|        ancient|   289| 918|
|       judgment|   289| 919|
|       occasion|   289| 920|
|         regard|   289| 921|
|        sitting|   288| 922|
|           wear|   288| 923|
|      advantage|   288| 924|
|            ago|   287| 925|
|         famous|   287| 926|
|          enemy|   287| 927|
|         oxford|   287| 928|
|       argument|   287| 929|
|        macbeth|   287| 930|
|      beginning|   286| 931|
|         higher|   286| 932|
|          carry|   286| 933|
|        claudio|   286| 934|
|        content|   285| 935|
|          guard|   285| 936|
|           grey|   284| 937|
|          smile|   284| 938|
|            lot|   284| 939|
|          takes|   284| 940|
|        appears|   284| 941|
|            don|   284| 942|
|         colour|   283| 943|
|         opened|   283| 944|
|           pure|   283| 945|
|         showed|   283| 946|
|         dinner|   283| 947|
|         forget|   282| 948|
|      ourselves|   282| 949|
|      wonderful|   281| 950|
|        running|   281| 951|
|         nearly|   281| 952|
|         battle|   281| 953|
|      according|   281| 954|
|           hate|   281| 955|
|        defarge|   281| 956|
|         corner|   280| 957|
|         giving|   280| 958|
|           moor|   280| 959|
|           papa|   280| 960|
|        antonio|   280| 961|
|        painted|   279| 962|
|              s|   278| 963|
|      presently|   278| 964|
|          broke|   278| 965|
