Values for Sample G 
The total number of words = 2104828
The total number of distinct = 36986
The popular treshold words = 1850
The common treshold 1 words = 17568
The common treshold 2 words = 19418
____________________________________________________________________________________________________________
Table for the top values
+--------------+-----+----+
|          Word|Count|Rank|
|          kept|  374| 561|
|          rich|  374| 562|
|        honest|  372| 563|
|          gold|  370| 564|
|         looks|  369| 565|
|          held|  368| 566|
|         break|  368| 567|
|       justice|  368| 568|
|          seek|  368| 569|
|         worse|  367| 570|
|          glad|  367| 571|
|          five|  366| 572|
|    understand|  366| 573|
|        pardon|  366| 574|
|          hair|  365| 575|
|         bound|  365| 576|
|          girl|  365| 577|
|         shalt|  365| 578|
|         close|  364| 579|
|           run|  363| 580|
|        unless|  363| 581|
|          iago|  362| 582|
|          seem|  361| 583|
|         table|  360| 584|
|        twenty|  359| 585|
|          sake|  359| 586|
|        wonder|  357| 587|
|         sense|  355| 588|
|        common|  355| 589|
|       duchess|  355| 590|
|         terms|  354| 591|
|        really|  354| 592|
|     gentlemen|  353| 593|
|        become|  353| 594|
|          rome|  353| 595|
|         doing|  351| 596|
|         third|  351| 597|
|          pity|  351| 598|
|         swear|  351| 599|
|     knightley|  351| 600|
|         mouth|  349| 601|
|          self|  348| 602|
|        longer|  347| 603|
|          wind|  347| 604|
|           cut|  347| 605|
|         seems|  345| 606|
|           wit|  345| 607|
|      children|  343| 608|
|           low|  343| 609|
|          save|  343| 610|
|        linton|  343| 611|
|         fight|  341| 612|
|       hundred|  340| 613|
|         order|  336| 614|
|          land|  336| 615|
|           fit|  334| 616|
|           joy|  333| 617|
|         fairy|  333| 618|
|        london|  332| 619|
|         grave|  330| 620|
|         crown|  329| 621|
|     catherine|  329| 622|
|          born|  328| 623|
|           cry|  328| 624|
|         uncle|  328| 625|
|         ought|  327| 626|
|       spirits|  327| 627|
|       evening|  326| 628|
|      possible|  326| 629|
|           war|  326| 630|
|         grief|  326| 631|
|        hither|  326| 632|
|       othello|  326| 633|
|          walk|  325| 634|
|          used|  323| 635|
|        giving|  323| 636|
|        ladies|  323| 637|
|        virtue|  322| 638|
|       knights|  322| 639|
|         plain|  321| 640|
|        curate|  321| 641|
|        pretty|  320| 642|
|         hours|  320| 643|
|         elton|  320| 644|
|       antonio|  320| 645|
|         story|  319| 646|
|          lips|  318| 647|
|        hardly|  318| 648|
|          past|  318| 649|
|          deep|  317| 650|
|      received|  317| 651|
|           pay|  316| 652|
|       thyself|  316| 653|
|           sat|  315| 654|
|         proud|  315| 655|
|          lose|  315| 656|
|       england|  315| 657|
|         along|  314| 658|
|        breath|  313| 659|
|          laid|  313| 660|
|           fly|  313| 661|
|          kiss|  312| 662|
|          goes|  311| 663|
|         serve|  311| 664|
|        beyond|  310| 665|
|         music|  310| 666|
|         timon|  310| 667|
|        living|  308| 668|
|       suppose|  308| 669|
|       soldier|  308| 670|
|        chance|  308| 671|
|       letters|  307| 672|
|         speed|  307| 673|
|      marriage|  307| 674|
